observation point, N, analysis difference
0,2,-1.332860312260891
1,2,-2.1746845767311243
2,2,-3.985441549083589
3,2,-15.429532434508474
4,2,5.2693538785051715
5,2,22.50649811004496
6,2,nan
7,2,75.06287524382515
8,2,55.208541010715635
9,2,73.58880136578045
10,2,nan
11,2,0.9421496373852278
12,2,65.59828255409775
13,2,0.4088175912793304
14,2,187.06746773509985
15,2,-6.196563440538739
16,2,0.7985992015464944
17,2,44.406175129126495
18,2,106.7445208636218
19,2,5.997549046385757
20,2,5.3030881620225045
21,2,-1.3396540398980505
22,2,119.62858082082039
23,2,-16.93103937622982
24,2,40.733169415030716
25,2,5.166182308000316
26,2,12.323801747300422
27,2,-0.15684882170808123
28,2,144.39508934613877
29,2,1.1629680713658672
30,2,157.18610682882172
31,2,-6.143145892696339
32,2,-1.301606932561299
33,2,25.60887995156463
34,2,72.6802260805498
35,2,-25.432928635175813
36,2,5.073396983139901
37,2,7.887672036987169
38,2,150.86144535885705
39,2,0.5880280643268634
40,2,-2.0549494676643008
41,2,-0.9062366353909965
42,2,0.9550759934309099
43,2,-41.126700880081444
44,2,181.68152981073672
45,2,6.542726856028821
46,2,1.6773396197540933
47,2,0.943678595684105
48,2,233.8998060298236
49,2,-0.03154751342663076
50,2,2.4432879324349415
51,2,-38.82886328211225
52,2,-25.120773991189708
53,2,13.765203346203634
54,2,0.9883888201611626
55,2,-0.894187029422028
56,2,16.481507145402247
57,2,-1.0705729328128655
58,2,-3.8309915699237536
59,2,1.028648526697907
60,2,12.07538743151872
61,2,2.979376627296915
62,2,41.03808354496232
63,2,1.8375447030493888
64,2,9.13082990152725
65,2,-0.5904358019834035
66,2,3.6578815790708177
67,2,2.6954549295560355
68,2,-2.7651474589602003
69,2,12.985296398532228
70,2,-2.544998978723015
71,2,3.6378680215029817
72,2,-5.083053745204779
73,2,-2.850194028916121
74,2,5.426806886361192
75,2,6.483562047192208
76,2,nan
77,2,-3.7284367567099252
78,2,-3.5534292788761377
79,2,nan
80,2,nan
81,2,-3.0201802942101494
82,2,-1.961594368488477
83,2,-0.2772442741897976
84,2,10.040417480513497
85,2,-2.324891379305882
86,2,2.7481523367105183
87,2,-58.52588443350305
88,2,-8.309674931679183
89,2,-8.026753929441838
90,2,-2.9393774625750666
91,2,-7.889614085710491
92,2,-4.825366290980128
93,2,-210.6480102624373
94,2,-31.411569444629095
95,2,11.50698681513677
96,2,3.8239619011219474
97,2,-2.6963422518201696
98,2,-4.553008427007626
99,2,-14.828387670087068
100,2,10.442021920003754
101,2,0.09147063534055633
102,2,-0.2180344827229419
103,2,146.36096818683382
104,2,1.1919157273941892
105,2,122.98676182849795
106,2,3.7740083549988412
107,2,-2.5833695131132117
108,2,-2.035990891783513
109,2,5.296466117068121
110,2,-4.101394666146007
111,2,0.5193231878602091
112,2,-13.130155737522728
113,2,3.448346411178136
114,2,nan
115,2,1.925240366305843
116,2,2.561629167847059
117,2,-9.217094646575788
118,2,0.015878551054811396
119,2,-6.6114358637523765
120,2,4.503578855613341
121,2,nan
122,2,-2.8090490409495033
123,2,-3.787369706304162
124,2,-17.110504368878537
125,2,-3.6879496732599364
126,2,-2.074450200238971
127,2,3.0812670092082044
128,2,3.542152431085924
129,2,2.1658579584782274
130,2,1.7585371012619362
131,2,66.2446032605867
132,2,2.2284156875093686
133,2,7.178149466737523
134,2,-11.667793815388904
0,4,-1.4524267666120068
1,4,-1.7679101155536046
2,4,-5.777660723339977
3,4,-26.770741433880175
4,4,-0.05436078878756234
5,4,20.004633754570023
6,4,nan
7,4,75.53526432999752
8,4,52.18795245525598
9,4,71.90255843196246
10,4,nan
11,4,-0.24399186972186726
12,4,60.659947150251355
13,4,-0.25462261267875874
14,4,183.4258769134949
15,4,-7.558592031287844
16,4,1.2781887768896922
17,4,35.18639476974931
18,4,98.5632403137306
19,4,7.354645608338615
20,4,9.884218548343597
21,4,-8.77713212051458
22,4,113.89359039239571
23,4,-17.45217779876657
24,4,36.23020552426897
25,4,4.711720093106123
26,4,21.575989488065716
27,4,-3.200085897099598
28,4,136.97516178096248
29,4,1.4421908627637094
30,4,149.16730610200193
31,4,-3.8087958199139393
32,4,-0.997193344803236
33,4,31.149756263654126
34,4,65.83894541288646
35,4,-27.50371428098697
36,4,4.109505065332996
37,4,11.20481654435116
38,4,142.1425324472675
39,4,-0.41351514184862026
40,4,4.388501688606993
41,4,-0.9238942254633002
42,4,3.5209254557912573
43,4,-37.85263223297261
44,4,176.22390195759453
45,4,9.861915042361034
46,4,3.644909631248993
47,4,-8.59151825680783
48,4,225.2424950996283
49,4,-0.9306625380868354
50,4,3.4652576393409618
51,4,-37.2742115602432
52,4,-27.92381572346312
53,4,12.080379445355902
54,4,-2.897445299159699
55,4,-9.060605111010773
56,4,14.209950108699559
57,4,-5.683023299294291
58,4,-6.54880379487804
59,4,-5.540996422449098
60,4,18.248533279375806
61,4,1.811360036296719
62,4,35.279977175366184
63,4,3.5405160154678015
64,4,19.62509237683298
65,4,-17.450810528108377
66,4,-1.9093958631074202
67,4,2.525401690576473
68,4,-5.466851278197282
69,4,14.220562081599383
70,4,-3.334578333848185
71,4,5.0912199337399215
72,4,-6.146114147093613
73,4,-3.072229788727782
74,4,5.319544028142445
75,4,7.902148812170708
76,4,nan
77,4,-5.754789638365764
78,4,-3.3172674770630692
79,4,nan
80,4,nan
81,4,-2.7599222470180393
82,4,0.8547400944989931
83,4,-0.562694058505258
84,4,11.796024021692574
85,4,-2.6756153543692562
86,4,1.548202195785052
87,4,-51.93512767747143
88,4,-8.01280196487187
89,4,-11.17511128793467
90,4,-1.5848093125059677
91,4,-7.593500335805402
92,4,-7.823039731886638
93,4,-203.19542885711417
94,4,-29.79427563340596
95,4,15.259801022748434
96,4,15.576955091391937
97,4,-3.4977114568609977
98,4,-2.1644820550400254
99,4,-13.331763899316684
100,4,16.166633922694928
101,4,7.235692173083407
102,4,0.22210863564396277
103,4,137.42521425081668
104,4,5.90591621468775
105,4,114.81857273553487
106,4,10.064071481118845
107,4,-3.8746684708548855
108,4,-2.640190631032965
109,4,7.932137459524711
110,4,-3.295305099248253
111,4,-1.0126568377036165
112,4,-11.79448765741563
113,4,5.893890429396379
114,4,nan
115,4,0.46092253732967947
116,4,2.2309166953737076
117,4,-18.26321182641368
118,4,0.4761652214465357
119,4,-11.939566971176646
120,4,-0.17514628978642577
121,4,nan
122,4,0.002175929053009895
123,4,-6.344664506013032
124,4,-11.183957808621926
125,4,-20.60970661799547
126,4,-12.060729041770173
127,4,-11.347012465467742
128,4,6.437637753143463
129,4,8.575660979012355
