grid_point, analysis_value, analysis_increment
[0, 0],5317.355892112554,-0.8275221015583156
[0, 1],5340.468918362434,5.5304083602713945
[0, 2],5365.502021572591,12.470535923123862
[0, 3],5395.303999330618,20.26052185487879
[0, 4],5423.372425807083,26.094774524329296
[0, 5],5450.195106464745,33.19616512225093
[0, 6],5472.054365583969,37.29775437162607
[0, 7],5488.997273043593,39.05147859411318
[0, 8],5499.235273013223,37.86149228193972
[0, 9],5497.243669590565,27.03354493943607
[0, 10],5504.040265172682,24.74733870156706
[0, 11],5516.671573791332,26.278219501782587
[0, 12],5535.706057433492,31.710039054866684
[0, 13],5573.7818446402,52.81830947965864
[0, 14],5602.86386695577,61.79525069375177
[0, 15],5627.10375110741,66.36718153530546
[0, 16],5643.41359837861,66.0175230168752
[0, 17],5658.564750759916,65.60991427237332
[0, 18],5669.637128983683,60.359287265844614
[0, 19],5685.498564819404,62.11333553479744
[0, 20],5687.11957696977,55.018520158553656
[0, 21],5682.771070270255,46.41289971422066
[1, 0],5294.428536326225,-10.540366172758695
[1, 1],5312.245524247974,-10.397648848236713
[1, 2],5339.812506722315,-0.5495437931149354
[1, 3],5364.350129088688,3.059558113568528
[1, 4],5391.797334013824,8.05827875230807
[1, 5],5420.4776642529805,15.469998624073924
[1, 6],5445.7083541480915,21.04067644544375
[1, 7],5466.235180659098,24.26039469042189
[1, 8],5482.0906565922205,26.887708469139397
[1, 9],5488.393844749628,23.62103825712711
[1, 10],5494.453971526012,20.956374073880397
[1, 11],5509.6536079489915,26.21233533931172
[1, 12],5524.908287403459,29.628617723577918
[1, 13],5553.336111153411,43.42725054654329
[1, 14],5579.675012814184,51.991652072154466
[1, 15],5603.641358243048,56.89084809536689
[1, 16],5624.679715484083,58.80514726374531
[1, 17],5647.387929486975,61.031182723083475
[1, 18],5669.275195860819,62.373420206237824
[1, 19],5682.771309407546,60.431915642719105
[1, 20],5687.220487555209,56.12979264290698
[1, 21],5684.903325483873,49.51565278821454
[2, 0],5276.605328878674,-14.1613056672104
[2, 1],5283.547547020522,-23.054461899046146
[2, 2],5304.445778408015,-18.276733455990325
[2, 3],5328.437575812474,-14.276194364620096
[2, 4],5355.324792972539,-10.600553055514865
[2, 5],5385.278275514914,-3.408200029013642
[2, 6],5412.8105039818065,3.231285143210698
[2, 7],5435.192922363613,6.83731486546003
[2, 8],5451.866206433588,8.943280554712146
[2, 9],5463.441758981561,10.715223951126973
[2, 10],5470.164495518939,9.539399073621098
[2, 11],5480.177246691819,11.151593310498356
[2, 12],5495.531088210643,16.76274747957632
[2, 13],5519.0953641198375,28.21986220329927
[2, 14],5541.152097097182,34.78546100355197
[2, 15],5563.590146663375,38.44847956582362
[2, 16],5590.0348140262,42.496177104492745
[2, 17],5618.6977735852315,44.81864166035848
[2, 18],5647.581732699598,48.39916625912974
[2, 19],5667.808771323692,50.74792104643075
[2, 20],5677.963773413692,50.73684651451458
[2, 21],5680.133441868603,47.64920178892862
[3, 0],5247.719994854666,-31.031866477715084
[3, 1],5259.677367253709,-31.07073908800703
[3, 2],5274.401090900476,-30.284817341218513
[3, 3],5299.198152722023,-25.018757767931675
[3, 4],5330.905747272283,-17.44631713564104
[3, 5],5362.158030607789,-9.56034144824116
[3, 6],5391.407728298226,-0.486775124893029
[3, 7],5406.088236138393,-3.726177248047861
[3, 8],5416.265845519293,-7.743552291357446
[3, 9],5429.464265142279,-3.766700090664017
[3, 10],5432.772922413836,-7.265427508060384
[3, 11],5440.092844051814,-6.831409340187747
[3, 12],5453.781943129254,-1.1439807084834683
[3, 13],5470.963804083616,5.755697081922335
[3, 14],5493.59214428963,14.423402523440018
[3, 15],5512.455801738746,14.416293135167507
[3, 16],5540.00739080117,16.477467499303202
[3, 17],5574.849794032903,19.97049313107982
[3, 18],5611.663731605452,27.065364471523026
[3, 19],5640.1169323001195,34.19375644254251
[3, 20],5664.581013662694,45.83253050079384
[3, 21],5679.050387833901,53.284465184276996
[4, 0],5250.137166489015,-15.330318158982664
[4, 1],5241.351350153656,-32.615561494745634
[4, 2],5256.18902426094,-30.175432479039955
[4, 3],5282.360591180046,-24.263482841858604
[4, 4],5317.221732298965,-15.834738023932914
[4, 5],5351.091059572618,-6.65288696429252
[4, 6],5373.049801647293,-3.8667255841228325
[4, 7],5385.096372659817,-7.867566265019377
[4, 8],5396.94976352649,-8.881213330158971
[4, 9],5398.287949938736,-15.811760352237798
[4, 10],5399.178997335856,-20.624126000790056
[4, 11],5403.1597403584565,-22.328764725029032
[4, 12],5409.6749304979285,-22.717946634110376
[4, 13],5423.08971537107,-18.355512352393816
[4, 14],5445.265625505823,-8.756715508516209
[4, 15],5458.89445660391,-13.433671709894952
[4, 16],5484.537144212013,-14.296866475205206
[4, 17],5522.160204764598,-9.674351398441104
[4, 18],5563.635589509327,0.1342321169713614
[4, 19],5605.582837488616,18.032255058185
[4, 20],5644.913826364122,41.811817932027225
[4, 21],5638.355977828495,26.360707326501142
[5, 0],5211.702884939811,-37.21082717800982
[5, 1],5224.820895725217,-32.06277783803034
[5, 2],5240.595786435169,-28.440467275636365
[5, 3],5268.817433658077,-22.09011498035852
[5, 4],5307.837100857824,-13.341721220072031
[5, 5],5345.2161883736235,-4.021371985414589
[5, 6],5368.773104611508,-0.9306904691484306
[5, 7],5378.94439212432,-7.000394322037209
[5, 8],5385.594505099802,-12.897948360863666
[5, 9],5387.797564965751,-18.21991529929437
[5, 10],5388.200653798217,-22.422194100537126
[5, 11],5389.513880537703,-25.57687628784879
[5, 12],5395.318878562183,-25.358944714940662
[5, 13],5406.70988713915,-21.185864373410368
[5, 14],5425.882938434481,-12.23497255548773
[5, 15],5432.606864629152,-21.676978317026624
[5, 16],5446.322046945996,-32.839481429014995
[5, 17],5477.794479326793,-32.51827325155409
[5, 18],5525.018556067886,-15.51195269175696
[5, 19],5567.066854056992,2.471503211131676
[5, 20],5611.307186592956,30.262354098863398
[5, 21],5617.891250092538,27.129546100609332
[6, 0],5197.010318488595,-37.48807136616597
[6, 1],5214.970910724964,-29.389125440473435
[6, 2],5231.811426213801,-25.665731453333137
[6, 3],5261.500847644971,-19.758594188531788
[6, 4],5303.706977247207,-11.591212802240989
[6, 5],5344.589594253217,-2.8499516818783377
[6, 6],5372.6344513088325,1.3136693663864207
[6, 7],5385.610242563775,-4.405255910782216
[6, 8],5393.489188201799,-9.79280994327928
[6, 9],5395.7446077617815,-14.761287435071608
[6, 10],5397.572326977113,-16.891782626869826
[6, 11],5399.084984340776,-18.679164820439837
[6, 12],5402.400788603749,-18.937473053639224
[6, 13],5408.532129551411,-17.18634887069402
[6, 14],5414.826652667081,-17.745210143841177
[6, 15],5418.382864957325,-26.87539576704421
[6, 16],5432.954455070236,-34.05331196541374
[6, 17],5453.699589230164,-41.692611828486406
[6, 18],5503.901766888976,-19.297082829656574
[6, 19],5561.01720651698,15.415345744785554
[6, 20],5602.090948216213,40.87075394921976
[6, 21],5628.298598082909,57.531515594776465
[7, 0],5190.687415128613,-36.438227071040274
[7, 1],5212.194441372186,-27.03289348195176
[7, 2],5230.384868670992,-25.120123919577054
[7, 3],5265.189681688517,-17.695965643290947
[7, 4],5308.816002940744,-10.635540665004555
[7, 5],5347.370102338661,-6.004649695094486
[7, 6],5377.733176414143,-2.6208881613247286
[7, 7],5398.3903624152845,-3.547097969481001
[7, 8],5408.2053227570195,-7.89334381361823
[7, 9],5411.702395269397,-11.836557228266429
[7, 10],5417.00861213496,-10.605843098745027
[7, 11],5423.339754445465,-6.685089931895163
[7, 12],5419.799098677805,-11.310339478691276
[7, 13],5421.535930571775,-10.462766717681006
[7, 14],5421.082342309168,-13.804379177022383
[7, 15],5418.743491620936,-24.396597605962597
[7, 16],5429.017834243803,-31.729693524227514
[7, 17],5446.868831511282,-39.796814210540106
[7, 18],5497.76957824036,-15.429696962985872
[7, 19],5548.655427859628,14.143135505828468
[7, 20],5590.4887467499975,41.21495462459097
[7, 21],5617.965545707568,59.34217566916868
[8, 0],5194.142644255069,-32.64885512382534
[8, 1],5213.627069618374,-27.676227575017037
[8, 2],5239.148405045237,-24.582644857674495
[8, 3],5277.929275600188,-18.93957030666843
[8, 4],5320.3879592146795,-12.969230767322188
[8, 5],5356.894972089643,-7.806996835056452
[8, 6],5386.92070586694,-5.903719942387397
[8, 7],5409.6673371070265,-7.9067894012259785
[8, 8],5424.80023146576,-8.788211315084482
[8, 9],5432.242900990494,-9.740129180314398
[8, 10],5436.135789610948,-10.179615756990643
