grid_point, analysis_value, analysis_increment
[3, 13],5467.6931014841,2.484994482406364
[3, 14],5487.108722195327,7.939980429136995
[3, 15],5509.415316689625,11.375808086046163
[3, 16],5537.73364862013,14.203725318263423
[3, 17],5567.912399161418,13.033098259594226
[3, 18],5606.07508463375,21.476717499820552
[3, 19],5639.198051084192,33.27487522661522
[3, 20],5662.658953951193,43.91047078929296
[3, 21],5674.548189012622,48.78226636299769
[4, 0],5236.556714514615,-28.910770133382357
[4, 1],5244.995448696883,-28.971462951519243
[4, 2],5255.54131820099,-30.82313853898995
[4, 3],5279.593511477892,-27.030562544012355
[4, 4],5313.43624219342,-19.620228129478164
[4, 5],5345.822053382254,-11.921893154656573
[4, 6],5369.404590793113,-7.511936438302655
[4, 7],5387.199528786777,-5.764410138059247
[4, 8],5393.263070796625,-12.567906060024143
[4, 9],5396.082552699441,-18.01715759153285
[4, 10],5396.594458153062,-23.208665183584344
[4, 11],5401.061117582982,-24.427387500503755
[4, 12],5410.672959845555,-21.719917286483906
[4, 13],5428.807774182056,-12.637453541407922
[4, 14],5445.724834732095,-8.297506282244285
[4, 15],5460.365814108757,-11.962314205047733
[4, 16],5489.958178613786,-8.87583207343232
[4, 17],5518.128050194483,-13.706505968556485
[4, 18],5563.430199758013,-0.07115763434194378
[4, 19],5606.268433982584,18.71785155215275
[4, 20],5645.99426983679,42.892261404696
[4, 21],5666.834438591657,54.83916808966296
[5, 0],5217.802633481994,-31.111078635826743
[5, 1],5227.679623435994,-29.20405012725405
[5, 2],5237.606819695968,-31.42943401483808
[5, 3],5267.807338532162,-23.100210106273153
[5, 4],5306.568204183344,-14.610617894551979
[5, 5],5343.151311517469,-6.086248841568704
[5, 6],5366.880087131876,-2.8237079487798837
[5, 7],5380.839926774263,-5.10485967209388
[5, 8],5385.751352993978,-12.741100466687385
[5, 9],5388.588259711858,-17.429220553187406
[5, 10],5387.770838019856,-22.85200987889857
[5, 11],5388.326607394463,-26.7641494310883
[5, 12],5396.772785825091,-23.905037452032957
[5, 13],5409.080047335249,-18.81570417731109
[5, 14],5419.039613200358,-19.078297789610588
[5, 15],5430.046768172052,-24.237074774126995
[5, 16],5451.083406421572,-28.078121953438313
[5, 17],5478.424742629516,-31.888009948831495
[5, 18],5525.0487860747735,-15.481722684869055
[5, 19],5584.432090786578,19.836739940717052
[5, 20],5625.5857378393175,44.54090534522493
[5, 21],5652.013618716084,61.25191472415554
[6, 0],5204.758610659538,-29.73977919522258
[6, 1],5216.197111996774,-28.162924168663267
[6, 2],5231.112283923508,-26.36487374362605
[6, 3],5263.984741646394,-17.274700187109374
[6, 4],5306.691685847176,-8.606504202271935
[6, 5],5345.306978461624,-2.1325674734716813
[6, 6],5371.638922298855,0.31814035640854854
[6, 7],5387.622590077319,-2.3929083972379885
[6, 8],5392.44928033844,-10.832717806638357
[6, 9],5397.817133944864,-12.68876125198949
[6, 10],5398.64136832976,-15.822741274223517
[6, 11],5399.37875435358,-18.38539480763575
[6, 12],5403.977392782504,-17.360868874884545
[6, 13],5410.830850893397,-14.887627528708435
[6, 14],5416.985116874187,-15.586745936735497
[6, 15],5425.089186771372,-20.169073952997678
[6, 16],5422.781003798344,-44.22676323730593
[6, 17],5456.0863777282475,-39.305823330402745
[6, 18],5508.726977419812,-14.471872298820927
[6, 19],5561.5097657238475,15.907904951653109
[6, 20],5610.423934872012,49.20374060501854
[6, 21],5644.052457786417,73.28537529828463
[7, 0],5203.521041210855,-23.604600988797756
[7, 1],5210.8127291226565,-28.41460573148106
[7, 2],5233.305871502273,-22.199121088296124
[7, 3],5269.029682299547,-13.855965032261338
[7, 4],5313.317910811804,-6.133632793944344
[7, 5],5350.966500621896,-2.4082514118599647
[7, 6],5380.915231301388,0.5611667259208843
[7, 7],5399.4565604567415,-2.480899928023973
[7, 8],5408.349093763565,-7.749572807072582
[7, 9],5412.543425576192,-10.995526921471537
[7, 10],5415.690950927181,-11.923504306523682
[7, 11],5421.7296591998975,-8.295185177462372
[7, 12],5423.260431723722,-7.849006432774331
[7, 13],5417.71829619675,-14.280401092705688
[7, 14],5419.671271470866,-15.215450015324677
