grid_point, analysis_value
[9, 6],5387.655767368116
[9, 7],5404.223161898879
[9, 8],5419.739512673681
[9, 9],5435.424425127701
[9, 10],5455.583615759788
[9, 11],5464.64131786622
[9, 12],5478.075498230945
[9, 13],5498.440656268338
[9, 14],5512.47519104725
[9, 15],5526.553669324902
[9, 16],5540.719847419392
[9, 17],5550.98617730842
[9, 18],5552.688724779997
[9, 19],5567.956051323996
[9, 20],5588.81528940884
[9, 21],5609.5646823835905
[10, 0],5265.594563688122
[10, 1],5293.465624442406
[10, 2],5324.019957554419
[10, 3],5343.493814410727
[10, 4],5366.705525011668
[10, 5],5373.243831906988
[10, 6],5394.194247690944
[10, 7],5416.171360540096
[10, 8],5435.228715851446
[10, 9],5454.448581009315
[10, 10],5474.1811931606
[10, 11],5482.833630746621
[10, 12],5498.946119290255
[10, 13],5516.0102754785
[10, 14],5529.913347899044
[10, 15],5542.8525510989475
[10, 16],5557.72137785417
[10, 17],5569.891813322014
[10, 18],5580.398028639386
[10, 19],5596.81809539781
[10, 20],5616.3389847776525
[10, 21],5617.779016857807
[11, 0],5276.130417073373
[11, 1],5303.890484916485
[11, 2],5332.880309044938
[11, 3],5351.0426726895
[11, 4],5377.247381514066
[11, 5],5396.190550380372
[11, 6],5407.761649853526
[11, 7],5429.191154043936
[11, 8],5450.35519324444
[11, 9],5468.3606666963115
[11, 10],5485.0094686459315
[11, 11],5501.367166093698
[11, 12],5517.8484548789
[11, 13],5532.889355798882
[11, 14],5547.4479103720205
[11, 15],5560.149037390218
[11, 16],5573.964399445082
[11, 17],5585.771529015768
[11, 18],5595.098710986069
[11, 19],5613.758339505774
[11, 20],5631.806626921894
[11, 21],5651.314779118849
[12, 0],5279.619832500848
[12, 1],5307.7617635351435
[12, 2],5338.014217723017
[12, 3],5364.650731387634
[12, 4],5395.134778496893
[12, 5],5406.42298768736
[12, 6],5425.220690857037
[12, 7],5443.316580832836
[12, 8],5461.3372513058475
[12, 9],5485.0040818105035
[12, 10],5502.926319390436
[12, 11],5516.739820512656
[12, 12],5533.13214536702
[12, 13],5548.196911397609
[12, 14],5576.959443363318
[12, 15],5584.900748006103
[12, 16],5601.091265012228
[12, 17],5612.978615952614
[12, 18],5627.780658282633
[12, 19],5639.4110098590445
[12, 20],5654.749098749884
[12, 21],5675.366638369927
[13, 0],5285.019895445332
[13, 1],5322.186450831987
[13, 2],5345.549191339111
[13, 3],5377.6686957875445
[13, 4],5404.013624996085
[13, 5],5426.740491472441
[13, 6],5442.188161199603
[13, 7],5456.266196521463
[13, 8],5480.120015540026
[13, 9],5498.867867346142
[13, 10],5518.722342568943
[13, 11],5538.984804445884
[13, 12],5569.210769399763
[13, 13],5579.149041526794
[13, 14],5594.975817044475
[13, 15],5607.212868610142
[13, 16],5615.223867525581
[13, 17],5633.627195569357
[13, 18],5644.308559763002
[13, 19],5659.571568857774
[13, 20],5675.704655658999
[13, 21],5690.207015337932
[14, 0],5292.728871722829
[14, 1],5332.493761259282
[14, 2],5359.448587633531
[14, 3],5391.765858397686
[14, 4],5422.184929056413
[14, 5],5443.671801918796
[14, 6],5463.521716343346
[14, 7],5480.358196190804
[14, 8],5494.613569015318
[14, 9],5523.235214187691
[14, 10],5553.73309837964
[14, 11],5567.202211638653
[14, 12],5585.015360030114
[14, 13],5597.926035586888
[14, 14],5611.831210518194
[14, 15],5626.073494263669
[14, 16],5639.09601851974
[14, 17],5647.697535096108
[14, 18],5664.812590433909
[14, 19],5676.246653355352
[14, 20],5691.921595829039
[14, 21],5710.0647982687005
[15, 0],5311.714869741711
[15, 1],5350.379141557527
[15, 2],5374.454006530965
[15, 3],5412.989516027854
[15, 4],5437.843704762403
[15, 5],5461.161502651676
[15, 6],5479.141905928716
[15, 7],5500.915347181763
[15, 8],5535.644930506864
[15, 9],5551.411772812541
[15, 10],5571.779140967331
[15, 11],5585.178358822266
[15, 12],5598.9995157227095
[15, 13],5617.513778164746
[15, 14],5634.4061409801525
[15, 15],5645.637867530814
[15, 16],5659.368673994057
[15, 17],5671.824417433439
[15, 18],5682.887719488363
[15, 19],5698.951068858475
[15, 20],5710.201272378799
[15, 21],5732.3431912249835
[16, 0],5326.877837698543
[16, 1],5362.592983388093
[16, 2],5406.349843519012
[16, 3],5437.16389433792
[16, 4],5475.638628966048
[16, 5],5495.383736537426
[16, 6],5513.3254548336845
[16, 7],5537.147656458328
[16, 8],5564.85109506093
[16, 9],5585.990092749973
[16, 10],5602.576379665857
[16, 11],5606.630551821736
[16, 12],5619.330674130986
[16, 13],5638.818726979614
[16, 14],5656.571374567501
[16, 15],5668.589864671299
[16, 16],5679.783005868061
[16, 17],5692.525943267919
[16, 18],5708.219044250592
[16, 19],5720.954486423933
[16, 20],5733.5539013941525
[16, 21],5755.307071559564
[17, 0],5336.277200833338
[17, 1],5389.253249687994
[17, 2],5429.250848267551
[17, 3],5459.325954642576
[17, 4],5496.663274207991
[17, 5],5526.36314285616
[17, 6],5547.319577818925
[17, 7],5566.065408609404
[17, 8],5587.553528912051
[17, 9],5608.184179733215
[17, 10],5630.012735809206
[17, 11],5646.137649459925
[17, 12],5657.048662983318
[17, 13],5676.114668799844
[17, 14],5685.897387073593
[17, 15],5698.053691981311
