grid_point, number_available_obs
[9, 9],98.0
[9, 10],97.0
[9, 11],94.0
[9, 12],91.0
[9, 13],89.0
[9, 14],88.0
[9, 15],87.0
[9, 16],85.0
[9, 17],80.0
[9, 18],74.0
[9, 19],72.0
[9, 20],68.0
[9, 21],65.0
[10, 0],74.0
[10, 1],80.0
[10, 2],87.0
[10, 3],91.0
[10, 4],96.0
[10, 5],98.0
[10, 6],101.0
[10, 7],104.0
[10, 8],103.0
[10, 9],104.0
[10, 10],103.0
[10, 11],98.0
[10, 12],96.0
[10, 13],94.0
[10, 14],92.0
[10, 15],90.0
[10, 16],87.0
[10, 17],84.0
[10, 18],81.0
[10, 19],79.0
[10, 20],72.0
[10, 21],66.0
[11, 0],75.0
[11, 1],86.0
[11, 2],86.0
[11, 3],93.0
[11, 4],96.0
[11, 5],100.0
[11, 6],103.0
[11, 7],106.0
[11, 8],108.0
[11, 9],105.0
[11, 10],103.0
[11, 11],103.0
[11, 12],98.0
[11, 13],96.0
[11, 14],96.0
[11, 15],91.0
[11, 16],89.0
[11, 17],86.0
[11, 18],82.0
[11, 19],79.0
[11, 20],78.0
[11, 21],70.0
[12, 0],78.0
[12, 1],84.0
[12, 2],88.0
[12, 3],93.0
[12, 4],96.0
[12, 5],104.0
[12, 6],107.0
[12, 7],108.0
[12, 8],106.0
[12, 9],106.0
[12, 10],104.0
[12, 11],102.0
[12, 12],99.0
[12, 13],99.0
[12, 14],100.0
[12, 15],95.0
[12, 16],94.0
[12, 17],92.0
[12, 18],87.0
[12, 19],84.0
[12, 20],80.0
[12, 21],77.0
[13, 0],76.0
[13, 1],84.0
[13, 2],91.0
[13, 3],93.0
[13, 4],99.0
[13, 5],103.0
[13, 6],106.0
[13, 7],107.0
[13, 8],108.0
[13, 9],105.0
[13, 10],104.0
[13, 11],102.0
[13, 12],104.0
[13, 13],102.0
[13, 14],101.0
[13, 15],98.0
[13, 16],94.0
[13, 17],91.0
[13, 18],89.0
[13, 19],85.0
[13, 20],83.0
[13, 21],78.0
[14, 0],77.0
[14, 1],83.0
[14, 2],89.0
[14, 3],90.0
[14, 4],98.0
[14, 5],101.0
[14, 6],105.0
[14, 7],106.0
[14, 8],107.0
[14, 9],107.0
[14, 10],107.0
[14, 11],104.0
[14, 12],104.0
[14, 13],104.0
[14, 14],100.0
[14, 15],97.0
[14, 16],94.0
[14, 17],91.0
[14, 18],89.0
[14, 19],85.0
[14, 20],84.0
[14, 21],80.0
[15, 0],73.0
[15, 1],79.0
[15, 2],87.0
[15, 3],92.0
[15, 4],95.0
[15, 5],100.0
[15, 6],103.0
[15, 7],104.0
[15, 8],104.0
[15, 9],109.0
[15, 10],108.0
[15, 11],105.0
[15, 12],105.0
[15, 13],102.0
[15, 14],101.0
[15, 15],96.0
[15, 16],93.0
[15, 17],92.0
[15, 18],90.0
[15, 19],86.0
[15, 20],82.0
[15, 21],79.0
[16, 0],73.0
[16, 1],77.0
[16, 2],84.0
[16, 3],88.0
[16, 4],90.0
[16, 5],96.0
[16, 6],100.0
[16, 7],104.0
[16, 8],106.0
[16, 9],106.0
[16, 10],105.0
[16, 11],105.0
[16, 12],103.0
[16, 13],101.0
[16, 14],98.0
[16, 15],96.0
[16, 16],94.0
[16, 17],91.0
[16, 18],87.0
[16, 19],85.0
[16, 20],81.0
[16, 21],78.0
[17, 0],72.0
[17, 1],75.0
[17, 2],84.0
[17, 3],86.0
[17, 4],89.0
[17, 5],89.0
[17, 6],96.0
[17, 7],102.0
[17, 8],103.0
[17, 9],102.0
[17, 10],101.0
[17, 11],100.0
[17, 12],101.0
[17, 13],97.0
[17, 14],95.0
[17, 15],93.0
[17, 16],93.0
[17, 17],88.0
[17, 18],88.0
[17, 19],83.0
[17, 20],81.0
[17, 21],78.0
[18, 0],67.0
[18, 1],75.0
[18, 2],80.0
[18, 3],84.0
[18, 4],86.0
[18, 5],90.0
[18, 6],96.0
[18, 7],97.0
[18, 8],98.0
[18, 9],100.0
[18, 10],99.0
[18, 11],98.0
[18, 12],98.0
[18, 13],97.0
[18, 14],95.0
[18, 15],95.0
[18, 16],91.0
[18, 17],88.0
[18, 18],87.0
[18, 19],84.0
[18, 20],81.0
[18, 21],76.0
[19, 0],64.0
[19, 1],73.0
[19, 2],76.0
[19, 3],80.0
[19, 4],84.0
[19, 5],86.0
[19, 6],94.0
[19, 7],95.0
[19, 8],96.0
[19, 9],97.0
[19, 10],98.0
[19, 11],96.0
[19, 12],96.0
[19, 13],96.0
[19, 14],94.0
[19, 15],92.0
[19, 16],89.0
[19, 17],87.0
[19, 18],83.0
[19, 19],82.0
[19, 20],78.0
[19, 21],76.0
[20, 0],62.0
[20, 1],68.0
[20, 2],76.0
[20, 3],79.0
[20, 4],81.0
[20, 5],85.0
[20, 6],89.0
[20, 7],91.0
[20, 8],94.0
[20, 9],93.0
[20, 10],95.0
[20, 11],94.0
[20, 12],92.0
[20, 13],93.0
[20, 14],92.0
[20, 15],88.0
[20, 16],87.0
[20, 17],85.0
[20, 18],81.0
[20, 19],80.0
[20, 20],76.0
[20, 21],74.0
[21, 0],62.0
[21, 1],64.0
[21, 2],71.0
[21, 3],78.0
[21, 4],80.0
[21, 5],82.0
[21, 6],85.0
[21, 7],88.0
[21, 8],88.0
[21, 9],89.0
[21, 10],87.0
[21, 11],88.0
[21, 12],91.0
[21, 13],90.0
[21, 14],88.0
[21, 15],88.0
[21, 16],83.0
[21, 17],82.0
[21, 18],80.0
[21, 19],78.0
[21, 20],75.0
[21, 21],71.0
[22, 0],54.0
[22, 1],62.0
[22, 2],67.0
[22, 3],71.0
[22, 4],77.0
[22, 5],79.0
[22, 6],80.0
[22, 7],84.0
[22, 8],87.0
[22, 9],86.0
[22, 10],86.0
[22, 11],87.0
[22, 12],88.0
[22, 13],86.0
[22, 14],86.0
[22, 15],86.0
[22, 16],83.0
[22, 17],81.0
[22, 18],81.0
[22, 19],78.0
[22, 20],75.0
[22, 21],70.0
[23, 0],53.0
[23, 1],57.0
[23, 2],61.0
[23, 3],70.0
[23, 4],75.0
[23, 5],78.0
[23, 6],77.0
[23, 7],78.0
[23, 8],83.0
[23, 9],84.0
[23, 10],85.0
[23, 11],86.0
[23, 12],85.0
[23, 13],84.0
[23, 14],81.0
[23, 15],80.0
[23, 16],78.0
[23, 17],79.0
[23, 18],77.0
[23, 19],76.0
[23, 20],73.0
[23, 21],66.0
[24, 0],49.0
[24, 1],56.0
[24, 2],60.0
[24, 3],66.0
[24, 4],72.0
[24, 5],72.0
[24, 6],73.0
[24, 7],76.0
[24, 8],80.0
[24, 9],82.0
[24, 10],83.0
[24, 11],83.0
[24, 12],80.0
[24, 13],79.0
[24, 14],80.0
[24, 15],80.0
[24, 16],77.0
[24, 17],78.0
[24, 18],75.0
[24, 19],72.0
[24, 20],67.0
[24, 21],63.0
[25, 0],46.0
[25, 1],51.0
[25, 2],59.0
[25, 3],60.0
[25, 4],65.0
[25, 5],71.0
[25, 6],71.0
[25, 7],73.0
[25, 8],76.0
[25, 9],79.0
[25, 10],80.0
[25, 11],80.0
[25, 12],78.0
[25, 13],77.0
[25, 14],78.0
[25, 15],78.0
[25, 16],77.0
[25, 17],74.0
[25, 18],71.0
[25, 19],69.0
[25, 20],65.0
[25, 21],60.0
[26, 0],44.0
[26, 1],45.0
[26, 2],54.0
[26, 3],59.0
[26, 4],61.0
[26, 5],65.0
[26, 6],70.0
[26, 7],68.0
[26, 8],69.0
[26, 9],73.0
[26, 10],75.0
[26, 11],76.0
[26, 12],76.0
[26, 13],75.0
[26, 14],73.0
[26, 15],71.0
[26, 16],70.0
[26, 17],67.0
[26, 18],64.0
[26, 19],63.0
[26, 20],59.0
[26, 21],57.0
[27, 0],42.0
[27, 1],44.0
[27, 2],47.0
[27, 3],54.0
[27, 4],57.0
[27, 5],62.0
[27, 6],62.0
[27, 7],65.0
[27, 8],67.0
[27, 9],67.0
[27, 10],69.0
[27, 11],69.0
[27, 12],70.0
[27, 13],71.0
[27, 14],68.0
[27, 15],67.0
[27, 16],66.0
[27, 17],65.0
[27, 18],63.0
[27, 19],60.0
[27, 20],59.0
[27, 21],54.0
