grid_point, number_available_obs
[0, 0],47.0
[0, 1],47.0
[0, 2],49.0
[0, 3],51.0
[0, 4],54.0
[0, 5],55.0
[0, 6],58.0
[0, 7],58.0
[0, 8],59.0
[0, 9],57.0
[0, 10],59.0
[0, 11],57.0
[0, 12],55.0
[0, 13],51.0
[0, 14],52.0
[0, 15],50.0
[0, 16],50.0
[0, 17],47.0
[0, 18],45.0
[0, 19],42.0
[0, 20],39.0
[0, 21],36.0
[1, 0],48.0
[1, 1],49.0
[1, 2],53.0
[1, 3],54.0
[1, 4],57.0
[1, 5],58.0
[1, 6],62.0
[1, 7],61.0
[1, 8],61.0
[1, 9],61.0
[1, 10],60.0
[1, 11],60.0
[1, 12],60.0
[1, 13],57.0
[1, 14],54.0
[1, 15],53.0
[1, 16],53.0
[1, 17],49.0
[1, 18],47.0
[1, 19],47.0
[1, 20],46.0
[1, 21],40.0
[2, 0],50.0
[2, 1],55.0
[2, 2],57.0
[2, 3],57.0
[2, 4],61.0
[2, 5],66.0
[2, 6],66.0
[2, 7],67.0
[2, 8],66.0
[2, 9],64.0
[2, 10],63.0
[2, 11],65.0
[2, 12],62.0
[2, 13],61.0
[2, 14],62.0
[2, 15],60.0
[2, 16],58.0
[2, 17],58.0
[2, 18],54.0
[2, 19],51.0
[2, 20],50.0
[2, 21],47.0
[3, 0],57.0
[3, 1],59.0
[3, 2],60.0
[3, 3],64.0
[3, 4],66.0
[3, 5],66.0
[3, 6],71.0
[3, 7],72.0
[3, 8],67.0
[3, 9],65.0
[3, 10],68.0
[3, 11],70.0
[3, 12],68.0
[3, 13],67.0
[3, 14],67.0
[3, 15],67.0
[3, 16],65.0
[3, 17],61.0
[3, 18],59.0
[3, 19],56.0
[3, 20],54.0
[3, 21],53.0
[4, 0],58.0
[4, 1],59.0
[4, 2],66.0
[4, 3],66.0
[4, 4],70.0
[4, 5],76.0
[4, 6],75.0
[4, 7],73.0
[4, 8],73.0
[4, 9],75.0
[4, 10],73.0
[4, 11],73.0
[4, 12],71.0
[4, 13],69.0
[4, 14],70.0
[4, 15],69.0
[4, 16],66.0
[4, 17],65.0
[4, 18],63.0
[4, 19],62.0
[4, 20],57.0
[4, 21],54.0
[5, 0],59.0
[5, 1],62.0
[5, 2],68.0
[5, 3],70.0
[5, 4],77.0
[5, 5],77.0
[5, 6],79.0
[5, 7],75.0
[5, 8],79.0
[5, 9],77.0
[5, 10],76.0
[5, 11],77.0
[5, 12],77.0
[5, 13],75.0
[5, 14],74.0
[5, 15],71.0
[5, 16],68.0
[5, 17],68.0
[5, 18],65.0
[5, 19],63.0
[5, 20],62.0
[5, 21],58.0
[6, 0],62.0
[6, 1],67.0
[6, 2],69.0
[6, 3],74.0
[6, 4],78.0
[6, 5],83.0
[6, 6],82.0
[6, 7],86.0
[6, 8],83.0
[6, 9],84.0
[6, 10],84.0
[6, 11],83.0
[6, 12],79.0
[6, 13],78.0
[6, 14],76.0
[6, 15],73.0
[6, 16],72.0
[6, 17],70.0
[6, 18],67.0
[6, 19],65.0
[6, 20],64.0
[6, 21],60.0
[7, 0],67.0
[7, 1],69.0
[7, 2],76.0
[7, 3],79.0
[7, 4],84.0
[7, 5],85.0
[7, 6],85.0
[7, 7],87.0
[7, 8],88.0
[7, 9],87.0
[7, 10],86.0
[7, 11],87.0
[7, 12],85.0
[7, 13],82.0
[7, 14],80.0
[7, 15],76.0
[7, 16],75.0
[7, 17],74.0
[7, 18],70.0
[7, 19],66.0
[7, 20],66.0
[7, 21],62.0
[8, 0],70.0
[8, 1],74.0
[8, 2],79.0
[8, 3],85.0
[8, 4],88.0
[8, 5],91.0
[8, 6],92.0
[8, 7],93.0
[8, 8],95.0
[8, 9],91.0
[8, 10],91.0
[8, 11],90.0
[8, 12],91.0
[8, 13],87.0
[8, 14],82.0
[8, 15],82.0
[8, 16],78.0
[8, 17],76.0
[8, 18],72.0
[8, 19],71.0
[8, 20],67.0
[8, 21],64.0
[9, 0],73.0
[9, 1],73.0
[9, 2],84.0
[9, 3],85.0
[9, 4],92.0
[9, 5],95.0
[9, 6],99.0
[9, 7],98.0
[9, 8],99.0
