grid_point, number_available_obs
[14, 10],42.0
[14, 11],41.0
[14, 12],42.0
[14, 13],45.0
[14, 14],46.0
[14, 15],45.0
[14, 16],45.0
[14, 17],42.0
[14, 18],38.0
[14, 19],34.0
[14, 20],33.0
[14, 21],26.0
[15, 0],15.0
[15, 1],16.0
[15, 2],17.0
[15, 3],20.0
[15, 4],22.0
[15, 5],26.0
[15, 6],29.0
[15, 7],33.0
[15, 8],37.0
[15, 9],38.0
[15, 10],42.0
[15, 11],42.0
[15, 12],46.0
[15, 13],46.0
[15, 14],45.0
[15, 15],45.0
[15, 16],42.0
[15, 17],39.0
[15, 18],37.0
[15, 19],33.0
[15, 20],31.0
[15, 21],28.0
[16, 0],16.0
[16, 1],18.0
[16, 2],20.0
[16, 3],24.0
[16, 4],27.0
[16, 5],28.0
[16, 6],30.0
[16, 7],35.0
[16, 8],36.0
[16, 9],41.0
[16, 10],46.0
[16, 11],44.0
[16, 12],45.0
[16, 13],48.0
[16, 14],49.0
[16, 15],45.0
[16, 16],43.0
[16, 17],36.0
[16, 18],36.0
[16, 19],33.0
[16, 20],26.0
[16, 21],25.0
[17, 0],17.0
[17, 1],20.0
[17, 2],21.0
[17, 3],24.0
[17, 4],30.0
[17, 5],31.0
[17, 6],35.0
[17, 7],37.0
[17, 8],40.0
[17, 9],42.0
[17, 10],44.0
[17, 11],49.0
[17, 12],46.0
[17, 13],47.0
[17, 14],50.0
[17, 15],49.0
[17, 16],41.0
[17, 17],38.0
[17, 18],34.0
[17, 19],29.0
[17, 20],29.0
[17, 21],23.0
[18, 0],18.0
[18, 1],22.0
[18, 2],25.0
[18, 3],27.0
[18, 4],28.0
[18, 5],32.0
[18, 6],34.0
[18, 7],34.0
[18, 8],40.0
[18, 9],44.0
[18, 10],48.0
[18, 11],51.0
[18, 12],48.0
[18, 13],47.0
[18, 14],50.0
[18, 15],45.0
[18, 16],42.0
[18, 17],36.0
[18, 18],33.0
[18, 19],29.0
[18, 20],27.0
[18, 21],22.0
[19, 0],19.0
[19, 1],23.0
[19, 2],25.0
[19, 3],27.0
[19, 4],30.0
[19, 5],30.0
[19, 6],33.0
[19, 7],38.0
[19, 8],39.0
[19, 9],39.0
[19, 10],48.0
[19, 11],47.0
[19, 12],45.0
[19, 13],44.0
[19, 14],44.0
[19, 15],45.0
[19, 16],42.0
[19, 17],37.0
[19, 18],35.0
[19, 19],29.0
[19, 20],27.0
[19, 21],23.0
[20, 0],20.0
[20, 1],22.0
[20, 2],24.0
[20, 3],27.0
[20, 4],33.0
[20, 5],30.0
[20, 6],30.0
[20, 7],36.0
[20, 8],39.0
[20, 9],42.0
[20, 10],44.0
[20, 11],45.0
[20, 12],44.0
[20, 13],41.0
[20, 14],41.0
[20, 15],42.0
[20, 16],44.0
[20, 17],41.0
[20, 18],38.0
[20, 19],31.0
[20, 20],28.0
[20, 21],26.0
[21, 0],19.0
[21, 1],21.0
[21, 2],25.0
[21, 3],27.0
[21, 4],29.0
[21, 5],31.0
[21, 6],31.0
[21, 7],34.0
[21, 8],35.0
[21, 9],41.0
[21, 10],40.0
[21, 11],41.0
[21, 12],43.0
[21, 13],43.0
[21, 14],42.0
[21, 15],42.0
[21, 16],40.0
[21, 17],37.0
[21, 18],34.0
[21, 19],29.0
[21, 20],29.0
[21, 21],25.0
[22, 0],18.0
[22, 1],21.0
[22, 2],23.0
[22, 3],26.0
[22, 4],27.0
[22, 5],28.0
[22, 6],29.0
[22, 7],31.0
[22, 8],32.0
[22, 9],37.0
[22, 10],39.0
[22, 11],41.0
[22, 12],42.0
[22, 13],43.0
[22, 14],41.0
[22, 15],38.0
[22, 16],39.0
[22, 17],33.0
[22, 18],31.0
[22, 19],25.0
[22, 20],24.0
[22, 21],21.0
[23, 0],17.0
[23, 1],21.0
[23, 2],22.0
[23, 3],24.0
[23, 4],26.0
[23, 5],25.0
[23, 6],28.0
[23, 7],30.0
[23, 8],32.0
[23, 9],31.0
[23, 10],35.0
[23, 11],37.0
[23, 12],40.0
[23, 13],39.0
[23, 14],35.0
[23, 15],34.0
[23, 16],32.0
[23, 17],29.0
[23, 18],28.0
[23, 19],24.0
[23, 20],24.0
[23, 21],18.0
[24, 0],16.0
[24, 1],19.0
[24, 2],21.0
[24, 3],22.0
[24, 4],25.0
[24, 5],25.0
[24, 6],27.0
[24, 7],30.0
[24, 8],30.0
[24, 9],32.0
[24, 10],32.0
[24, 11],36.0
[24, 12],36.0
[24, 13],36.0
[24, 14],34.0
[24, 15],31.0
[24, 16],29.0
[24, 17],24.0
[24, 18],23.0
[24, 19],21.0
[24, 20],19.0
[24, 21],18.0
[25, 0],14.0
[25, 1],15.0
[25, 2],20.0
[25, 3],24.0
[25, 4],25.0
[25, 5],24.0
[25, 6],24.0
[25, 7],25.0
[25, 8],28.0
[25, 9],28.0
[25, 10],32.0
[25, 11],33.0
