grid_point, analysis_value
[14, 10],5577.323973541118
[14, 11],5588.223940545536
[14, 12],5588.110774339655
[14, 13],5588.485082353223
[14, 14],5592.019998559918
[14, 15],5592.230615299123
[14, 16],5592.1416622319975
[14, 17],5600.699351353842
[14, 18],5617.9381853479545
[14, 19],5629.428329782351
[14, 20],5654.685485861093
[14, 21],5690.081196181067
[15, 0],5251.7313340772525
[15, 1],5291.926306745416
[15, 2],5335.029277908405
[15, 3],5381.715563076043
[15, 4],5424.714488341866
[15, 5],5485.034550185239
[15, 6],5518.429423174692
[15, 7],5548.512913994004
[15, 8],5573.24960010299
[15, 9],5590.690052202033
[15, 10],5611.217917621434
[15, 11],5621.324917738828
[15, 12],5627.112374464036
[15, 13],5626.490308794846
[15, 14],5629.661503205909
[15, 15],5637.51880150145
[15, 16],5648.777953442124
[15, 17],5656.946290548845
[15, 18],5662.691512049236
[15, 19],5675.358835279786
[15, 20],5693.2423023701085
[15, 21],5717.064695728055
[16, 0],5261.905700955158
[16, 1],5307.188767890824
[16, 2],5349.2228330333965
[16, 3],5402.271558960845
[16, 4],5454.339065296823
[16, 5],5494.715069296524
[16, 6],5540.358531671191
[16, 7],5565.902721683862
[16, 8],5597.961795723881
[16, 9],5622.992928620641
[16, 10],5638.038691568274
[16, 11],5655.175933851951
[16, 12],5665.022924922411
[16, 13],5662.441901152546
[16, 14],5670.636241784087
[16, 15],5677.238794753812
[16, 16],5688.84357589803
[16, 17],5700.732198880773
[16, 18],5717.149345532899
[16, 19],5732.807420581015
[16, 20],5745.0075625826175
[16, 21],5764.0002934265285
[17, 0],5280.355512784547
[17, 1],5327.209594669539
[17, 2],5369.728090607756
[17, 3],5430.6094078066235
[17, 4],5479.411274670381
[17, 5],5519.873452380669
[17, 6],5557.153341191799
[17, 7],5588.55692199306
[17, 8],5615.945428900957
[17, 9],5641.599801937174
[17, 10],5661.458429362452
[17, 11],5681.573592447265
[17, 12],5699.77633865136
[17, 13],5706.916507999636
[17, 14],5709.203701633391
[17, 15],5717.142775586982
[17, 16],5731.512052049612
[17, 17],5740.952927695945
[17, 18],5756.290272110527
[17, 19],5772.482188636572
[17, 20],5791.097545702434
[17, 21],5798.2175666145395
[18, 0],5304.714352929814
[18, 1],5353.95394522955
[18, 2],5400.471484618989
[18, 3],5455.047507936997
[18, 4],5499.438449618443
[18, 5],5542.313081439999
[18, 6],5577.894515678581
[18, 7],5606.254658580599
[18, 8],5634.28203402531
[18, 9],5663.641119663589
[18, 10],5681.505284098503
[18, 11],5704.322826738207
[18, 12],5720.254787164527
[18, 13],5734.943624457304
[18, 14],5739.445010875087
[18, 15],5755.781114048003
[18, 16],5773.521237693091
[18, 17],5787.690485245543
[18, 18],5810.291043109753
[18, 19],5825.018169727609
[18, 20],5839.335890477412
[18, 21],5849.310187201943
[19, 0],5324.322781390083
[19, 1],5374.313768628001
[19, 2],5418.4861132346705
[19, 3],5478.352972817409
[19, 4],5520.991700314889
[19, 5],5559.777696196537
[19, 6],5597.324501233035
[19, 7],5626.098391052909
[19, 8],5653.433798112798
[19, 9],5677.45563614463
[19, 10],5705.590455153734
[19, 11],5723.818800517591
[19, 12],5740.519471650112
[19, 13],5762.745621818001
[19, 14],5772.663657159907
[19, 15],5785.294802550987
[19, 16],5805.442386398474
[19, 17],5823.135233289982
[19, 18],5843.770009507089
[19, 19],5858.84450320245
[19, 20],5875.15166120444
[19, 21],5884.372225393869
[20, 0],5345.368700952022
[20, 1],5392.326860597601
[20, 2],5455.099439961219
[20, 3],5498.05093332459
[20, 4],5537.837627628152
[20, 5],5579.84118905445
[20, 6],5612.405212096935
[20, 7],5643.749617675751
[20, 8],5672.607198940091
[20, 9],5694.190631302464
[20, 10],5714.941956639302
[20, 11],5738.773745851642
[20, 12],5764.831279731699
[20, 13],5783.385247759477
[20, 14],5794.595350080515
[20, 15],5816.110980942537
[20, 16],5830.054299708813
[20, 17],5846.804265945109
[20, 18],5867.441815278691
[20, 19],5880.765083348497
[20, 20],5906.012502022797
[20, 21],5919.744674919446
[21, 0],5367.832651246708
[21, 1],5431.684170490966
[21, 2],5475.645741135773
[21, 3],5517.3532553495315
[21, 4],5556.882065107275
[21, 5],5592.420166027761
[21, 6],5627.819044850316
[21, 7],5656.902832636177
[21, 8],5686.407164725535
[21, 9],5711.924162084826
[21, 10],5735.004467419271
[21, 11],5754.062148242991
[21, 12],5779.00464930984
[21, 13],5795.4996881432635
[21, 14],5817.087072583635
[21, 15],5826.061553233535
[21, 16],5844.197386041998
[21, 17],5859.005339053141
[21, 18],5877.367103811035
[21, 19],5898.047012167011
[21, 20],5919.156258290703
[21, 21],5919.424413058783
[22, 0],5402.088453589566
[22, 1],5451.003403296458
[22, 2],5495.4375835638
[22, 3],5537.860109283749
[22, 4],5575.052013223671
[22, 5],5610.978440449519
[22, 6],5643.4705433470235
[22, 7],5676.025551304975
[22, 8],5699.086117961698
[22, 9],5723.920279975151
[22, 10],5744.984048628668
[22, 11],5765.527241490181
[22, 12],5784.669405123717
[22, 13],5808.905005091834
[22, 14],5830.263764922693
[22, 15],5843.343761157886
[22, 16],5856.20184636506
[22, 17],5877.9204927088485
[22, 18],5897.445881069354
[22, 19],5904.284611322662
[22, 20],5925.793257842131
[22, 21],5942.175355413099
[23, 0],5418.127491179361
[23, 1],5468.015245615263
[23, 2],5509.123477076208
[23, 3],5549.749905573592
[23, 4],5590.207277013122
[23, 5],5625.251210404047
[23, 6],5656.773213822463
[23, 7],5685.051704349604
[23, 8],5710.900601391987
[23, 9],5735.459394442033
[23, 10],5756.513547148973
[23, 11],5774.266792641718
[23, 12],5793.894357621268
[23, 13],5810.152684215696
[23, 14],5826.688463600489
[23, 15],5847.339680088773
[23, 16],5862.203604104621
[23, 17],5877.81551661023
[23, 18],5895.257794364368
[23, 19],5915.638259090494
[23, 20],5934.9262042326445
[23, 21],5909.42802330936
[24, 0],5431.525934354833
[24, 1],5480.171408059101
[24, 2],5522.689511471035
[24, 3],5563.995892301623
[24, 4],5600.388849159577
[24, 5],5634.156676795206
[24, 6],5665.135658762945
[24, 7],5692.855818013528
[24, 8],5716.840150394082
[24, 9],5740.573518048188
[24, 10],5760.311822550513
[24, 11],5780.652406023539
[24, 12],5798.167257109402
[24, 13],5814.388620129772
[24, 14],5832.747420836873
[24, 15],5847.261429838561
[24, 16],5861.595547526103
[24, 17],5873.377848258913
[24, 18],5884.387924096129
[24, 19],5895.51869286743
[24, 20],5906.616214554349
[24, 21],5913.1582984242705
[25, 0],5444.590862101106
[25, 1],5493.250971449211
[25, 2],5535.815198917114
[25, 3],5571.171309226511
[25, 4],5606.027512530354
[25, 5],5639.102832147376
[25, 6],5671.162379829743
[25, 7],5698.565154970415
[25, 8],5719.382678315247
[25, 9],5743.461570107589
[25, 10],5763.064434981146
[25, 11],5781.366320441519
[25, 12],5799.585186540731
[25, 13],5817.787680930334
[25, 14],5835.259848072086
[25, 15],5849.64367769389
[25, 16],5863.010102190947
[25, 17],5875.463739342556
[25, 18],5885.194903719228
[25, 19],5888.19217558243
[25, 20],5870.675486784661
[25, 21],5846.395842917729
[26, 0],5462.863384956023
[26, 1],5503.794606571049
[26, 2],5539.7341574133425
[26, 3],5577.497329227299
[26, 4],5613.593541756091
[26, 5],5644.762684869185
[26, 6],5672.323252215473
[26, 7],5693.528054774169
[26, 8],5716.984439018452
[26, 9],5740.67370737354
[26, 10],5763.666944333598
[26, 11],5781.307004552786
[26, 12],5795.488517989716
[26, 13],5821.077889071417
[26, 14],5835.621190160347
[26, 15],5849.3184938263985
[26, 16],5862.139251819981
[26, 17],5872.254625537325
[26, 18],5879.619745511434
[26, 19],5878.979331972383
[26, 20],5875.126769290102
[26, 21],5812.013026447501
[27, 0],5474.506602581134
[27, 1],5507.938811124855
[27, 2],5545.169674151051
[27, 3],5578.207026330934
[27, 4],5613.635592413854
[27, 5],5642.42079466133
[27, 6],5668.403564326577
[27, 7],5688.1214298303385
[27, 8],5710.923901396598
[27, 9],5733.560058660782
[27, 10],5755.989885399658
[27, 11],5776.593569541306
[27, 12],5793.149851598275
[27, 13],5815.134537882368
[27, 14],5840.343257931025
[27, 15],5852.159385264926
[27, 16],5864.229836944303
[27, 17],5873.359245869721
[27, 18],5880.231817598757
[27, 19],5881.017453988301
[27, 20],5877.640395048453
[27, 21],5830.645775220124
