grid_point, analysis_value
[0, 0],5307.806588666796
[0, 1],5345.039768545732
[0, 2],5364.247433326549
[0, 3],5388.491284185275
[0, 4],5405.542879158962
[0, 5],5421.698865959193
[0, 6],5441.471574477237
[0, 7],5477.872067749226
[0, 8],5494.759518286452
[0, 9],5526.493711624184
[0, 10],5544.42572026977
[0, 11],5564.6152599712805
[0, 12],5592.652552643151
[0, 13],5605.537823499017
[0, 14],5640.152246020985
[0, 15],5679.693472805363
[0, 16],5721.497122674238
[0, 17],5767.771027455274
[0, 18],5822.334119502702
[0, 19],5820.562812121469
[0, 20],5854.201183836209
[0, 21],5994.24453816493
[1, 0],5309.583075009047
[1, 1],5327.2239384950035
[1, 2],5358.326560864
[1, 3],5382.219529586757
[1, 4],5393.949740812534
[1, 5],5400.515698578434
[1, 6],5419.4189016088
[1, 7],5439.563119377384
[1, 8],5452.314663783002
[1, 9],5471.335452733231
[1, 10],5491.975900026635
[1, 11],5507.96226802307
[1, 12],5525.220931134202
[1, 13],5549.425248919849
[1, 14],5572.170515770529
[1, 15],5598.440768414331
[1, 16],5631.474645214648
[1, 17],5671.1892608715025
[1, 18],5733.2407297909485
[1, 19],5784.53975658548
[1, 20],5817.564411115745
[1, 21],5922.875843612594
[2, 0],5277.885144592373
[2, 1],5307.022837719142
[2, 2],5327.850785744404
[2, 3],5358.701477463773
[2, 4],5364.8773613765425
[2, 5],5372.14399064994
[2, 6],5388.729140940535
[2, 7],5412.195628180231
[2, 8],5421.539737778161
[2, 9],5432.225381419983
[2, 10],5449.289915088655
[2, 11],5464.993954885298
[2, 12],5475.562310907601
[2, 13],5497.315017731749
[2, 14],5510.837350447051
[2, 15],5538.619438255538
[2, 16],5573.550220410575
[2, 17],5605.999022808141
[2, 18],5651.538361809113
[2, 19],5705.726310598126
[2, 20],5782.2379603304435
[2, 21],5860.838224579813
[3, 0],5267.959270462635
[3, 1],5280.830117074323
[3, 2],5300.704739758629
[3, 3],5312.708554903047
[3, 4],5335.870414936779
[3, 5],5356.332941741342
[3, 6],5374.334112891214
[3, 7],5389.3555534154875
[3, 8],5401.102640443782
[3, 9],5416.436359229525
[3, 10],5424.274741987583
[3, 11],5433.703971789084
[3, 12],5444.178201026148
[3, 13],5463.965689348496
[3, 14],5476.850474153578
[3, 15],5499.323206688429
[3, 16],5532.0298818814845
[3, 17],5568.117670736922
[3, 18],5608.360979065204
[3, 19],5656.633715798431
[3, 20],5730.2841098892095
[3, 21],5781.773126438173
[4, 0],5243.781619506785
[4, 1],5262.894569662041
[4, 2],5290.317655655432
[4, 3],5307.4510584608815
[4, 4],5329.829366148482
[4, 5],5351.26841175307
[4, 6],5352.405573378084
[4, 7],5373.998582318172
[4, 8],5391.054778101381
[4, 9],5402.338721737162
[4, 10],5415.932808760334
[4, 11],5415.516429562546
[4, 12],5423.992145165195
[4, 13],5433.093379097514
[4, 14],5445.570621318832
[4, 15],5469.730116275441
[4, 16],5498.298423899559
[4, 17],5530.942266357293
[4, 18],5567.08156059701
[4, 19],5615.851730435446
[4, 20],5687.430590440839
[4, 21],5770.576399137935
[5, 0],5248.401379345751
[5, 1],5249.078110293985
[5, 2],5279.853787075643
[5, 3],5299.411473940963
[5, 4],5310.780102375404
[5, 5],5337.34495525113
[5, 6],5357.359137152711
[5, 7],5366.316493153372
[5, 8],5386.75124301024
[5, 9],5392.9874827444255
[5, 10],5398.908907357005
[5, 11],5412.416556526086
[5, 12],5408.590194314869
[5, 13],5414.535799787571
[5, 14],5433.318134464406
[5, 15],5449.637040618433
[5, 16],5473.192063520259
[5, 17],5506.107531014077
[5, 18],5535.601383368328
[5, 19],5585.981505526508
[5, 20],5650.2538799877875
[5, 21],5681.92816046947
[6, 0],5232.209020551305
[6, 1],5235.751280556704
[6, 2],5267.630297544332
[6, 3],5282.160918752492
[6, 4],5297.187549183931
[6, 5],5326.469124344161
[6, 6],5362.023600707347
[6, 7],5377.756200369224
[6, 8],5393.261543912406
[6, 9],5397.664825208258
[6, 10],5394.191558832743
[6, 11],5407.442655766263
[6, 12],5402.230551227733
[6, 13],5412.743239085901
[6, 14],5420.989786358042
[6, 15],5436.220303354772
[6, 16],5454.060690288492
[6, 17],5477.185228368686
[6, 18],5506.3512909790425
[6, 19],5559.561662819695
[6, 20],5587.701896191862
[6, 21],5626.545120397117
[7, 0],5230.522564622994
[7, 1],5245.3476819438865
[7, 2],5263.543350869624
[7, 3],5273.931431944451
[7, 4],5300.452047828083
[7, 5],5335.434743018968
[7, 6],5354.727914873012
[7, 7],5391.753276018719
[7, 8],5400.28483757516
[7, 9],5410.9827034423015
[7, 10],5411.208896355922
[7, 11],5421.5068641513335
[7, 12],5410.91676150548
[7, 13],5409.916454299825
[7, 14],5415.098612630838
[7, 15],5426.636030504658
[7, 16],5439.276928383385
[7, 17],5454.631168699092
[7, 18],5485.50865548265
[7, 19],5532.812022484404
[7, 20],5563.686060905944
[7, 21],5605.1570011214535
[8, 0],5232.817422229495
[8, 1],5245.030765020183
[8, 2],5257.522265422896
[8, 3],5286.106694722581
[8, 4],5312.472819820989
[8, 5],5349.148423551353
[8, 6],5364.622072791879
[8, 7],5398.5717316868995
[8, 8],5416.499883613746
[8, 9],5421.012691118214
[8, 10],5418.120460758866
[8, 11],5429.268716148257
[8, 12],5420.3803320343
[8, 13],5418.716729795811
[8, 14],5415.370106888515
[8, 15],5426.2368825115755
[8, 16],5436.147233377974
[8, 17],5450.872397586989
[8, 18],5476.0502604669055
[8, 19],5509.754500656205
[8, 20],5548.2490745086525
[8, 21],5589.006046290631
[9, 0],5234.650322509307
[9, 1],5248.7328976243625
[9, 2],5272.098527038881
[9, 3],5301.8259086293365
[9, 4],5322.497963385398
[9, 5],5356.859451478846
[9, 6],5393.785486296787
[9, 7],5415.408475435606
[9, 8],5438.159644882713
[9, 9],5448.104613010482
[9, 10],5444.156923464552
[9, 11],5443.844654544935
[9, 12],5435.66890014339
[9, 13],5437.107517207858
[9, 14],5430.187080827491
[9, 15],5428.265848455077
[9, 16],5441.802735158735
[9, 17],5451.527140443233
[9, 18],5477.771556701707
[9, 19],5502.067559039577
[9, 20],5538.958319386833
[9, 21],5571.77310057176
[10, 0],5234.771859536242
[10, 1],5243.663659702048
[10, 2],5271.55219179718
[10, 3],5314.258864919479
[10, 4],5353.510439679654
[10, 5],5385.800603942234
[10, 6],5419.802717652803
[10, 7],5438.649310532795
[10, 8],5456.012537958795
[10, 9],5470.536963890903
[10, 10],5476.469547521164
[10, 11],5469.014198784157
[10, 12],5466.783216705744
[10, 13],5459.82691892421
[10, 14],5460.177383558695
[10, 15],5447.642087118384
[10, 16],5455.168987348645
[10, 17],5466.518690323442
[10, 18],5483.052652867277
[10, 19],5510.3870413971745
[10, 20],5540.245130990268
[10, 21],5578.093851800542
[11, 0],5244.952617043597
[11, 1],5241.235709482111
[11, 2],5282.813252228374
[11, 3],5321.995979195595
[11, 4],5376.03953604967
[11, 5],5410.362401017304
[11, 6],5435.874619060165
[11, 7],5465.408537055295
[11, 8],5478.126845541614
[11, 9],5491.913216610695
[11, 10],5499.364107393439
[11, 11],5492.648601994063
[11, 12],5491.36140618912
[11, 13],5482.010732547756
[11, 14],5481.792081323939
[11, 15],5481.005685737769
[11, 16],5488.569926407175
[11, 17],5481.27191726892
[11, 18],5505.54525388989
[11, 19],5530.426603581291
[11, 20],5553.660632071773
[11, 21],5593.249688322367
[12, 0],5227.1061166866
[12, 1],5254.217839224695
[12, 2],5296.213356577282
[12, 3],5343.782307749063
[12, 4],5386.688636198838
[12, 5],5424.918523825725
[12, 6],5458.855473112082
[12, 7],5487.5263026224275
[12, 8],5500.5693017959875
[12, 9],5517.943495574378
[12, 10],5522.600412444008
[12, 11],5528.345252812727
[12, 12],5516.582889289383
[12, 13],5511.758251561149
[12, 14],5512.393514730712
[12, 15],5510.258826783212
[12, 16],5517.468509259566
[12, 17],5525.317817059748
[12, 18],5539.584282883783
[12, 19],5551.417199289695
[12, 20],5578.570488518424
[12, 21],5607.940940892664
[13, 0],5234.124455047358
[13, 1],5264.275206161192
[13, 2],5318.0109613555305
[13, 3],5353.9354095489125
[13, 4],5402.381599560906
[13, 5],5438.368823917981
[13, 6],5473.558422459806
[13, 7],5504.063089303492
[13, 8],5531.873250981333
[13, 9],5543.292610256778
[13, 10],5554.6674106686705
[13, 11],5555.440314354872
[13, 12],5559.90043633192
[13, 13],5549.107937303842
[13, 14],5542.208831214806
[13, 15],5550.935262723453
[13, 16],5554.507096884521
[13, 17],5564.797443961822
[13, 18],5567.258677535872
[13, 19],5597.620868676775
[13, 20],5621.392564392954
[13, 21],5644.434399786671
[14, 0],5215.381156270352
[14, 1],5275.860634471033
[14, 2],5316.720878895223
[14, 3],5363.095001457019
[14, 4],5415.031684728083
[14, 5],5453.959287511139
[14, 6],5497.347432001074
[14, 7],5530.0413594138845
[14, 8],5552.875446416652
[14, 9],5573.35971439877
